["#0000000040000002#","Vicinity","",1775526628]Welcome to AnarchyOnline
["#0000000040000001#","System","",1775526845]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:27
["#0000000040000001#","System","",1775526845]Must be in combat mode.
["#0000000040000001#","System","",1775526845]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526845]Wait for your previous special attack to complete.
["#0000000040000001#","System","",1775526845]Your target can't be attacked.
["#0000000042000005#","You hit other with nano","",1775526845]You hit Strange Xan Artifact with nanobots for 687 points of chemical damage.
["#0000000040000001#","System","",1775526845]Your target can't be attacked.
["#0000000042000005#","You hit other with nano","",1775526845]You hit Strange Xan Artifact with nanobots for 840 points of projectile damage.
["#0000000042000008#","You hit other","",1775526845]You hit Strange Xan Artifact for 5373 points of Burst damage.
["#0000000040000001#","System","",1775526845]Wait for your previous special attack to complete.
["#0000000040000001#","System","",1775526845]You must recently have Affected by Quick Shot running!
["#0000000040000001#","System","",1775526845]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526845]Please wait until previous action has finished.
["#0000000042000008#","You hit other","",1775526845]You hit Strange Xan Artifact for 2759 points of Fling Shot damage.
["#0000000041000000#","Your Pets","",1775526845]Plus1's pet, Briefcase: I'll fix his habius corpus!
["#0000000041000000#","Your Pets","",1775526845]Plus1's pet, Sword: Charge!
["#0000000042000018#","Me Cast Nano","",1775526845]Executing Nano Program: Workplace Depression.
["#0000000042000018#","Me Cast Nano","",1775526845]Executing Nano Program: Intensify Stress.
["#0000000042000018#","Me Cast Nano","",1775526845]Nano program failed. Already executing nanoprogram.
["#0000000042000018#","Me Cast Nano","",1775526845]Executing Nano Program: Workplace Depression.
["#0000000042000018#","Me Cast Nano","",1775526845]Executing Nano Program: Intensify Stress.
["#0000000042000018#","Me Cast Nano","",1775526845]Nano program failed. Already executing nanoprogram.
["#0000000042000018#","Me Cast Nano","",1775526845]Nano program failed. Already executing nanoprogram.
["#0000000042000018#","Me Cast Nano","",1775526845]Nano program failed. Already executing nanoprogram.
["#0000000040000001#","System","",1775526845]Your target can't be attacked.
["#0000000040000001#","System","",1775526845]Unable to perform action, Fling Shot skill is locked, able in 00:00:05
["#0000000040000001#","System","",1775526845]Unable to perform action, Burst skill is locked, able in 00:00:08
["#0000000040000001#","System","",1775526845]Unable to perform action Starfall perk is locked, able in 00:00:06
["#0000000040000001#","System","",1775526845]Unable to perform action Starfall perk is locked, able in 00:00:38
["#0000000040000001#","System","",1775526845]Unable to perform action Starfall perk is locked, able in 00:00:41
["#0000000040000001#","System","",1775526845]Unable to perform action Starfall perk is locked, able in 00:00:43
["#0000000040000001#","System","",1775526845]Action is not available.
["#0000000040000001#","System","",1775526845]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:32
["#0000000040000001#","System","",1775526845]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:22
["#0000000040000001#","System","",1775526845]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:44
["#0000000040000001#","System","",1775526845]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:26
["#0000000040000001#","System","",1775526845]Must be in combat mode.
["#0000000040000001#","System","",1775526845]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526846]You are already running this action!
["#0000000040000001#","System","",1775526846]You must recently have Affected by Quick Shot running!
["#0000000040000001#","System","",1775526846]You are already running this action!
["#0000000040000001#","System","",1775526846]You are already running this action!
["#0000000040000001#","System","",1775526846]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526846]Please wait until previous action has finished.
["#000000004200000a#","Other hit by other","",1775526846]Ground Chief Aune's reflect shield hit Biggi3 for 200 points of damage.
["#0000000040000001#","System","",1775526846]Unable to perform action, Fling Shot skill is locked, able in 00:00:05
["#0000000040000001#","System","",1775526846]Unable to perform action, Burst skill is locked, able in 00:00:08
["#0000000040000001#","System","",1775526846]Unable to perform action Starfall perk is locked, able in 00:00:06
["#0000000040000001#","System","",1775526846]Unable to perform action Starfall perk is locked, able in 00:00:38
["#0000000040000001#","System","",1775526846]Unable to perform action Starfall perk is locked, able in 00:00:41
["#0000000040000001#","System","",1775526846]Unable to perform action Starfall perk is locked, able in 00:00:43
["#0000000040000001#","System","",1775526846]Action is not available.
["#0000000040000001#","System","",1775526846]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:32
["#0000000040000001#","System","",1775526846]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:22
["#0000000040000001#","System","",1775526846]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:44
["#0000000040000001#","System","",1775526846]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:26
["#0000000040000001#","System","",1775526846]Must be in combat mode.
["#0000000040000001#","System","",1775526846]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526846]You are already running this action!
["#0000000042000008#","You hit other","",1775526846]You hit Strange Xan Artifact for 895 points of projectile damage. Glancing hit.
["#0000000040000001#","System","",1775526846]You must recently have Affected by Quick Shot running!
["#0000000040000001#","System","",1775526846]Unable to perform action, Fling Shot skill is locked, able in 00:00:05
["#0000000040000001#","System","",1775526846]Unable to perform action, Burst skill is locked, able in 00:00:08
["#0000000040000001#","System","",1775526846]Unable to perform action Starfall perk is locked, able in 00:00:06
["#0000000040000001#","System","",1775526846]Unable to perform action Starfall perk is locked, able in 00:00:38
["#0000000040000001#","System","",1775526846]Unable to perform action Starfall perk is locked, able in 00:00:41
["#0000000040000001#","System","",1775526846]Unable to perform action Starfall perk is locked, able in 00:00:43
["#0000000040000001#","System","",1775526846]Action is not available.
["#0000000040000001#","System","",1775526846]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:32
["#0000000040000001#","System","",1775526846]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:22
["#0000000040000001#","System","",1775526846]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:44
["#0000000040000001#","System","",1775526846]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:26
["#0000000040000001#","System","",1775526846]Must be in combat mode.
["#0000000040000001#","System","",1775526846]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526846]You are already running this action!
["#0000000040000001#","System","",1775526846]You are already running this action!
["#0000000040000001#","System","",1775526846]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526846]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526846]You are already running this action!
["#0000000040000001#","System","",1775526846]Attacked by Strange Xan Artifact!
["#0000000040000001#","System","",1775526846]Unable to perform action, Fling Shot skill is locked, able in 00:00:05
["#0000000040000001#","System","",1775526846]Unable to perform action, Burst skill is locked, able in 00:00:08
["#0000000040000001#","System","",1775526846]Unable to perform action Starfall perk is locked, able in 00:00:06
["#0000000040000001#","System","",1775526846]Unable to perform action Starfall perk is locked, able in 00:00:38
["#0000000040000001#","System","",1775526846]Unable to perform action Starfall perk is locked, able in 00:00:41
["#0000000040000001#","System","",1775526846]Unable to perform action Starfall perk is locked, able in 00:00:43
["#0000000040000001#","System","",1775526846]Action is not available.
["#0000000040000001#","System","",1775526846]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:32
["#0000000040000001#","System","",1775526846]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:22
["#0000000040000001#","System","",1775526846]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:44
["#0000000040000001#","System","",1775526846]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:26
["#0000000040000001#","System","",1775526846]Must be in combat mode.
["#0000000040000001#","System","",1775526846]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526846]You must recently have Affected by Quick Shot running!
["#0000000040000001#","System","",1775526846]You are already running this action!
["#0000000040000001#","System","",1775526846]You are already running this action!
["#0000000040000001#","System","",1775526846]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526846]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526846]You are already running this action!
["#0000000042000005#","You hit other with nano","",1775526846]You hit Strange Xan Artifact with nanobots for 2791 points of projectile damage.
["#0000000040000001#","System","",1775526846]You successfully perform a Quick Shot attack.
["#0000000040000001#","System","",1775526846]You are already running this action!
["#0000000040000001#","System","",1775526846]You are already running this action!
["#0000000040000001#","System","",1775526846]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526846]Please wait until previous action has finished.
["#0000000042000009#","Your pet hit by other","",1775526846]Briefcase hit Strange Xan Artifact for 2603 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526846]Sword hit Strange Xan Artifact for 2236 points of radiation damage.
["#000000004200000a#","Other hit by other","",1775526847]Ground Chief Aune's reflect shield hit Biggi3 for 200 points of damage.
["#000000004200000a#","Other hit by other","",1775526847]Ground Chief Aune's reflect shield hit Biggi3 for 200 points of damage.
["#000000004200000a#","Other hit by other","",1775526847]Ground Chief Aune's reflect shield hit Biggi3 for 200 points of damage.
["#0000000042000004#","Other hit by nano","",1775526847]Masked Commando was attacked with nanobots from Biggi3 for 784 points of projectile damage.
["#000000004200000a#","Other hit by other","",1775526847]Ground Chief Aune's reflect shield hit Biggi3 for 200 points of damage.
["#0000000042000008#","You hit other","",1775526847]You hit Strange Xan Artifact for 1791 points of projectile damage.
["#0000000042000013#","Other misses","",1775526847]Strange Xan Artifact tried to hit you, but missed!
["#0000000042000009#","Your pet hit by other","",1775526847]Briefcase hit Strange Xan Artifact for 1807 points of melee damage.
["#000000004200000a#","Other hit by other","",1775526848]Biggi3's reflect shield hit Masked Commando for 49 points of damage.
["#000000004200000a#","Other hit by other","",1775526848]Biggi3's damage shield hit Masked Commando for 334 points of damage.
["#000000004200000a#","Other hit by other","",1775526848]Someone absorbed 522 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526848]Sword hit Strange Xan Artifact for 1841 points of melee damage.
["#0000000040000001#","System","",1775526848]Unable to perform action, Burst skill is locked, able in 00:00:06
["#0000000040000001#","System","",1775526848]Unable to perform action, Fling Shot skill is locked, able in 00:00:03
["#000000004200000a#","Other hit by other","",1775526848]Ground Chief Aune's reflect shield hit Biggi3 for 200 points of damage.
["#0000000040000001#","System","",1775526848]Unable to perform action, Burst skill is locked, able in 00:00:06
["#0000000040000001#","System","",1775526848]Unable to perform action, Fling Shot skill is locked, able in 00:00:03
["#0000000041000000#","Your Pets","",1775526848]Plus1's pet, Briefcase: I will treat this one as a hostile witness!
["#0000000040000001#","System","",1775526848]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526848]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526848]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526848]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526848]Unable to perform action, Fling Shot skill is locked, able in 00:00:03
["#0000000040000001#","System","",1775526848]Unable to perform action, Burst skill is locked, able in 00:00:06
["#0000000040000001#","System","",1775526848]Unable to perform action Starfall perk is locked, able in 00:00:04
["#0000000040000001#","System","",1775526848]Unable to perform action Starfall perk is locked, able in 00:00:36
["#0000000040000001#","System","",1775526848]Unable to perform action Starfall perk is locked, able in 00:00:39
["#0000000040000001#","System","",1775526848]Unable to perform action Starfall perk is locked, able in 00:00:41
["#0000000040000001#","System","",1775526848]Action is not available.
["#0000000040000001#","System","",1775526848]Unable to perform action Pistol Mastery perk is locked, able in 00:00:43
["#0000000040000001#","System","",1775526848]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:30
["#0000000040000001#","System","",1775526848]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:20
["#0000000040000001#","System","",1775526848]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:42
["#0000000040000001#","System","",1775526848]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:24
["#0000000040000001#","System","",1775526848]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526848]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526848]You are already running this action!
["#0000000041000000#","Your Pets","",1775526848]Plus1's pet, Sword: Charge!
["#0000000040000001#","System","",1775526848]You are already running this action!
["#0000000040000001#","System","",1775526848]You are already running this action!
["#0000000040000001#","System","",1775526848]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526848]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526848]Please wait until previous action has finished.
["#0000000041000000#","Your Pets","",1775526848]Plus1's pet, Briefcase: OK..but you will be invoiced for my dry cleaning.
["#0000000042000018#","Me Cast Nano","",1775526848]Executing Nano Program: Workplace Depression.
["#0000000042000018#","Me Cast Nano","",1775526848]Executing Nano Program: Intensify Stress.
["#0000000042000005#","You hit other with nano","",1775526849]You hit Strange Xan Artifact with nanobots for 3989 points of energy damage.
["#0000000042000018#","Me Cast Nano","",1775526849]Nano program executed successfully.
["#0000000041000000#","Your Pets","",1775526849]Plus1's pet, Sword: Charge!
["#0000000042000018#","Me Cast Nano","",1775526849]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526849]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000018#","Me Cast Nano","",1775526849]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526849]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000018#","Me Cast Nano","",1775526849]Wait for current nano program execution to finish.
["#0000000042000009#","Your pet hit by other","",1775526849]Briefcase hit Strange Xan Artifact for 2508 points of melee damage.
["#0000000042000018#","Me Cast Nano","",1775526849]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526849]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000018#","Me Cast Nano","",1775526849]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526849]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000018#","Me Cast Nano","",1775526849]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526849]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000018#","Me Cast Nano","",1775526849]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526849]Unable to execute nano program. You can't execute this nano on the target.
["#000000004200000a#","Other hit by other","",1775526849]Biggi3's reflect shield hit Ground Chief Aune for 68 points of damage.
["#000000004200000a#","Other hit by other","",1775526849]Biggi3's damage shield hit Ground Chief Aune for 334 points of damage.
["#000000004200000a#","Other hit by other","",1775526849]Someone absorbed 973 points of cold damage.
["#000000004200000a#","Other hit by other","",1775526849]Ground Chief Aune hit Biggi3 for 1208 points of cold damage.
["#000000004200000a#","Other hit by other","",1775526849]Ground Chief Aune's reflect shield hit Biggi3 for 200 points of damage.
["#0000000042000005#","You hit other with nano","",1775526849]You hit Strange Xan Artifact with nanobots for 5222 points of projectile damage.
["#0000000042000005#","You hit other with nano","",1775526849]You hit Strange Xan Artifact with nanobots for 6647 points of projectile damage.
["#0000000040000001#","System","",1775526849]You successfully perform a Deadeye attack.
["#0000000040000001#","System","",1775526849]Unable to perform action, Fling Shot skill is locked, able in 00:00:02
["#0000000040000001#","System","",1775526849]Unable to perform action, Burst skill is locked, able in 00:00:05
["#0000000040000001#","System","",1775526849]Unable to perform action Starfall perk is locked, able in 00:00:03
["#0000000040000001#","System","",1775526849]Unable to perform action Starfall perk is locked, able in 00:00:35
["#0000000040000001#","System","",1775526849]Unable to perform action Starfall perk is locked, able in 00:00:38
["#0000000040000001#","System","",1775526849]Unable to perform action Starfall perk is locked, able in 00:00:40
["#0000000040000001#","System","",1775526849]Action is not available.
["#0000000040000001#","System","",1775526849]Unable to perform action Pistol Mastery perk is locked, able in 00:00:42
["#0000000040000001#","System","",1775526849]Unable to perform action Pistol Mastery perk is locked, able in 00:01:30
["#0000000040000001#","System","",1775526849]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:29
["#0000000040000001#","System","",1775526849]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:19
["#0000000040000001#","System","",1775526849]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:41
["#0000000040000001#","System","",1775526849]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:23
["#0000000040000001#","System","",1775526849]Must be in combat mode.
["#0000000040000001#","System","",1775526849]You're unable to perform this action; please check the requirements of the item.
["#0000000042000009#","Your pet hit by other","",1775526849]Sword hit Strange Xan Artifact for 1768 points of melee damage.
["#0000000040000001#","System","",1775526849]You are already running this action!
["#0000000040000001#","System","",1775526849]You are already running this action!
["#0000000040000001#","System","",1775526849]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526849]Please wait until previous action has finished.
["#0000000042000008#","You hit other","",1775526849]Your reflect shield hit Strange Xan Artifact for 49 points of damage.
["#0000000042000008#","You hit other","",1775526849]Your damage shield hit Strange Xan Artifact for 110 points of damage.
["#0000000042000006#","Me hit by monster","",1775526849]Strange Xan Artifact hit you for 345 points of energy damage.
["#0000000040000001#","System","",1775526849]Unable to perform action, Fling Shot skill is locked, able in 00:00:01
["#0000000040000001#","System","",1775526849]Unable to perform action, Burst skill is locked, able in 00:00:04
["#0000000040000001#","System","",1775526849]Unable to perform action Starfall perk is locked, able in 00:00:02
["#0000000040000001#","System","",1775526849]Unable to perform action Starfall perk is locked, able in 00:00:34
["#0000000040000001#","System","",1775526849]Unable to perform action Starfall perk is locked, able in 00:00:37
["#0000000040000001#","System","",1775526849]Unable to perform action Starfall perk is locked, able in 00:00:39
["#0000000040000001#","System","",1775526849]Action is not available.
["#0000000040000001#","System","",1775526849]Unable to perform action Pistol Mastery perk is locked, able in 00:00:41
["#0000000040000001#","System","",1775526849]Unable to perform action Pistol Mastery perk is locked, able in 00:01:29
["#0000000040000001#","System","",1775526849]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:28
["#0000000040000001#","System","",1775526849]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:18
["#0000000040000001#","System","",1775526849]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:40
["#0000000040000001#","System","",1775526849]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:22
["#0000000040000001#","System","",1775526849]Must be in combat mode.
["#0000000040000001#","System","",1775526849]You're unable to perform this action; please check the requirements of the item.
["#0000000042000015#","Me got health","",1775526849]You were healed for 345 points.
["#0000000040000001#","System","",1775526850]You are already running this action!
["#0000000042000008#","You hit other","",1775526850]You hit Strange Xan Artifact for 1791 points of projectile damage.
["#0000000040000001#","System","",1775526850]You are already running this action!
["#0000000040000001#","System","",1775526850]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526850]Please wait until previous action has finished.
["#000000004200000a#","Other hit by other","",1775526850]Biggi3's reflect shield hit Masked Commando for 49 points of damage.
["#000000004200000a#","Other hit by other","",1775526850]Biggi3's damage shield hit Masked Commando for 334 points of damage.
["#000000004200000a#","Other hit by other","",1775526850]Someone absorbed 261 points of melee damage.
["#0000000040000001#","System","",1775526850]Unable to perform action, Fling Shot skill is locked, able in 00:00:01
["#0000000040000001#","System","",1775526850]Unable to perform action, Burst skill is locked, able in 00:00:04
["#0000000040000001#","System","",1775526850]Unable to perform action Starfall perk is locked, able in 00:00:02
["#0000000040000001#","System","",1775526850]Unable to perform action Starfall perk is locked, able in 00:00:34
["#0000000040000001#","System","",1775526850]Unable to perform action Starfall perk is locked, able in 00:00:37
["#0000000040000001#","System","",1775526850]Unable to perform action Starfall perk is locked, able in 00:00:39
["#0000000040000001#","System","",1775526850]Action is not available.
["#0000000040000001#","System","",1775526850]Unable to perform action Pistol Mastery perk is locked, able in 00:00:41
["#0000000040000001#","System","",1775526850]Unable to perform action Pistol Mastery perk is locked, able in 00:01:29
["#0000000040000001#","System","",1775526850]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:28
["#0000000040000001#","System","",1775526850]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:18
["#0000000040000001#","System","",1775526850]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:40
["#0000000040000001#","System","",1775526850]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:22
["#0000000042000009#","Your pet hit by other","",1775526850]Briefcase hit Strange Xan Artifact for 1791 points of melee damage.
["#0000000040000001#","System","",1775526850]You are already running this action!
["#0000000040000001#","System","",1775526850]You are already running this action!
["#0000000040000001#","System","",1775526850]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526850]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526850]Please wait until previous action has finished.
["#0000000042000005#","You hit other with nano","",1775526850]You hit Strange Xan Artifact with nanobots for 2380 points of projectile damage.
["#0000000040000001#","System","",1775526850]You successfully perform Antitrust.
["#0000000040000001#","System","",1775526850]Unable to perform action, Fling Shot skill is locked, able in 00:00:01
["#0000000040000001#","System","",1775526850]Unable to perform action, Burst skill is locked, able in 00:00:04
["#0000000040000001#","System","",1775526850]Unable to perform action Starfall perk is locked, able in 00:00:02
["#0000000040000001#","System","",1775526850]Unable to perform action Starfall perk is locked, able in 00:00:34
["#0000000040000001#","System","",1775526850]Unable to perform action Starfall perk is locked, able in 00:00:37
["#0000000040000001#","System","",1775526850]Unable to perform action Starfall perk is locked, able in 00:00:39
["#0000000040000001#","System","",1775526850]Action is not available.
["#0000000040000001#","System","",1775526850]Unable to perform action Pistol Mastery perk is locked, able in 00:00:41
["#0000000040000001#","System","",1775526850]Unable to perform action Pistol Mastery perk is locked, able in 00:01:29
["#0000000040000001#","System","",1775526850]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:28
["#0000000040000001#","System","",1775526850]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:18
["#0000000040000001#","System","",1775526850]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:40
["#0000000040000001#","System","",1775526850]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:22
["#0000000040000001#","System","",1775526850]Unable to perform action Loophole perk is locked, able in 00:00:15
["#0000000040000001#","System","",1775526850]You are already running this action!
["#0000000040000001#","System","",1775526850]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526850]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526850]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526850]Unable to perform action, Burst skill is locked, able in 00:00:04
["#0000000040000001#","System","",1775526850]Unable to perform action, Fling Shot skill is locked, able in 00:00:01
["#0000000040000001#","System","",1775526850]Knife or Sharp Object Throwing skill available.
["#0000000040000001#","System","",1775526850]Fling Shot skill available.
["#0000000040000001#","System","",1775526850]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526850]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526850]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526850]Unable to perform action, Burst skill is locked, able in 00:00:03
["#0000000040000001#","System","",1775526850]Unable to perform action Starfall perk is locked, able in 00:00:01
["#0000000040000001#","System","",1775526850]Unable to perform action Starfall perk is locked, able in 00:00:33
["#0000000040000001#","System","",1775526850]Unable to perform action Starfall perk is locked, able in 00:00:36
["#0000000040000001#","System","",1775526850]Unable to perform action Starfall perk is locked, able in 00:00:38
["#0000000040000001#","System","",1775526850]Action is not available.
["#0000000040000001#","System","",1775526850]Unable to perform action Pistol Mastery perk is locked, able in 00:00:40
["#0000000040000001#","System","",1775526850]Unable to perform action Pistol Mastery perk is locked, able in 00:01:28
["#0000000040000001#","System","",1775526850]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:27
["#0000000040000001#","System","",1775526850]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:17
["#0000000040000001#","System","",1775526850]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:39
["#0000000040000001#","System","",1775526850]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:21
["#0000000040000001#","System","",1775526850]Unable to perform action Loophole perk is locked, able in 00:00:14
["#0000000041000000#","Your Pets","",1775526850]Plus1's pet, Briefcase: OK..but you will be invoiced for my dry cleaning.
["#0000000040000001#","System","",1775526850]You are already running this action!
["#0000000040000001#","System","",1775526851]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526851]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526851]Please wait until previous action has finished.
["#0000000042000008#","You hit other","",1775526851]You hit Strange Xan Artifact for 1791 points of Fling Shot damage.
["#0000000040000001#","System","",1775526851]Unable to perform action, Fling Shot skill is locked, able in 00:00:06
["#0000000040000001#","System","",1775526851]Unable to perform action, Burst skill is locked, able in 00:00:03
["#0000000040000001#","System","",1775526851]Unable to perform action Starfall perk is locked, able in 00:00:01
["#0000000040000001#","System","",1775526851]Unable to perform action Starfall perk is locked, able in 00:00:33
["#0000000040000001#","System","",1775526851]Unable to perform action Starfall perk is locked, able in 00:00:36
["#0000000040000001#","System","",1775526851]Unable to perform action Starfall perk is locked, able in 00:00:38
["#0000000040000001#","System","",1775526851]Action is not available.
["#0000000040000001#","System","",1775526851]Unable to perform action Pistol Mastery perk is locked, able in 00:00:40
["#0000000040000001#","System","",1775526851]Unable to perform action Pistol Mastery perk is locked, able in 00:01:28
["#0000000040000001#","System","",1775526851]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:27
["#0000000040000001#","System","",1775526851]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:17
["#0000000040000001#","System","",1775526851]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:39
["#0000000040000001#","System","",1775526851]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:21
["#0000000040000001#","System","",1775526851]Unable to perform action Loophole perk is locked, able in 00:00:14
["#0000000042000008#","You hit other","",1775526851]You hit Strange Xan Artifact for 2759 points of projectile damage. Critical hit!
["#0000000040000001#","System","",1775526851]You are already running this action!
["#0000000041000000#","Your Pets","",1775526851]Plus1's pet, Sword: Charge!
["#0000000040000001#","System","",1775526851]Unable to perform action, Fling Shot skill is locked, able in 00:00:06
["#0000000040000001#","System","",1775526851]Unable to perform action, Burst skill is locked, able in 00:00:03
["#0000000040000001#","System","",1775526851]Unable to perform action Starfall perk is locked, able in 00:00:01
["#0000000040000001#","System","",1775526851]Unable to perform action Starfall perk is locked, able in 00:00:33
["#0000000040000001#","System","",1775526851]Unable to perform action Starfall perk is locked, able in 00:00:36
["#0000000040000001#","System","",1775526851]Unable to perform action Starfall perk is locked, able in 00:00:38
["#0000000040000001#","System","",1775526851]Action is not available.
["#0000000040000001#","System","",1775526851]Unable to perform action Pistol Mastery perk is locked, able in 00:00:40
["#0000000040000001#","System","",1775526851]Unable to perform action Pistol Mastery perk is locked, able in 00:01:28
["#0000000040000001#","System","",1775526851]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:27
["#0000000040000001#","System","",1775526851]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:17
["#0000000040000001#","System","",1775526851]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:39
["#0000000040000001#","System","",1775526851]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:21
["#0000000040000001#","System","",1775526851]Unable to perform action Loophole perk is locked, able in 00:00:14
["#0000000040000001#","System","",1775526851]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526851]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526851]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526851]You are already running this action!
["#0000000040000001#","System","",1775526851]Unable to perform action, Fling Shot skill is locked, able in 00:00:06
["#0000000040000001#","System","",1775526851]Unable to perform action, Burst skill is locked, able in 00:00:03
["#0000000040000001#","System","",1775526851]Unable to perform action Starfall perk is locked, able in 00:00:01
["#0000000040000001#","System","",1775526851]Unable to perform action Starfall perk is locked, able in 00:00:33
["#0000000040000001#","System","",1775526851]Unable to perform action Starfall perk is locked, able in 00:00:36
["#0000000040000001#","System","",1775526851]Unable to perform action Starfall perk is locked, able in 00:00:38
["#0000000040000001#","System","",1775526851]Action is not available.
["#0000000040000001#","System","",1775526851]Unable to perform action Pistol Mastery perk is locked, able in 00:00:40
["#0000000040000001#","System","",1775526851]Unable to perform action Pistol Mastery perk is locked, able in 00:01:28
